28.639461	0.003544	0.060861
39.298320	0.002085	0.074739
53.751014	0.001212	0.096380
72.824160	0.000730	0.122112
99.147765	0.000434	0.156914
135.113038	0.000254	0.203920
181.850264	0.000150	0.373236
244.329964	0.000088	0.350016
325.461677	0.000050	0.451219
430.545404	0.000028	0.583390
28.6394610000	0.0035440931	0.0605340000	30.0000000000
44.1213970000	0.0017059419	0.0820340000	46.0000000000
68.0736600000	0.0008205845	0.1144540000	71.0000000000
104.7264090000	0.0003955582	0.1612690000	110.0000000000
159.5377400000	0.0001920017	0.2348530000	170.0000000000
240.9245210000	0.0000904900	0.3424680000	263.0000000000
358.9527770000	0.0000411365	0.4946450000	407.0000000000
523.7456120000	0.0000188812	0.7033910000	628.0000000000
746.8705220000	0.0000084853	0.9787440000	971.0000000000
1030.0836710000	0.0000037842	1.3249290000	1500.0000000000
