23.818527	0.005783	0.007804
34.203481	0.003302	0.009190
50.242364	0.001792	0.009502
75.007536	0.000868	0.010575
112.479325	0.000466	0.011986
168.056823	0.000196	0.013035
248.191810	0.000085	0.015183
365.605842	0.000035	0.017029
523.475123	0.000009	0.020701
760.335468	0.000003	0.023296
23.818527	0.005783	0.007885	0.010000
30.233493	0.003994	0.008407	0.005995
38.790049	0.002724	0.008672	0.003594
50.242364	0.001792	0.009589	0.002154
65.502401	0.001210	0.010178	0.001292
85.870548	0.000671	0.011192	0.000774
112.479325	0.000466	0.012218	0.000464
147.070295	0.000370	0.012752	0.000278
191.245565	0.000140	0.014574	0.000167
248.191810	0.000085	0.016397	0.000100
